# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.029369 -0.024446 0.331674
2.000000 0.107162 -0.030059 0.733767
3.000000 0.034361 0.330295 0.893255
4.000000 -0.183619 0.555321 0.851831
5.000000 -0.320161 0.563367 0.773972
6.000000 -0.365256 0.439907 0.732313
7.000000 -0.444934 0.206905 0.655940
8.000000 -0.464609 -0.063111 0.457396
9.000000 -0.152269 0.010793 0.230471
10.000000 0.228061 -0.011557 -0.196294
11.000000 0.341064 0.041065 -0.133037
12.000000 0.062848 0.033835 -0.034516
13.000000 -0.133272 -0.062478 -0.146083
14.000000 -0.122586 -0.100377 -0.332961
15.000000 0.497408 -0.087663 -1.596961
16.000000 0.526761 -0.606385 -2.428743
17.000000 0.286183 -1.003472 -2.005543
18.000000 -0.433112 -1.229652 -1.775318
19.000000 -0.389878 -0.504254 -1.029555
20.000000 0.386751 -0.389323 -1.673173
21.000000 -1.178153 -0.289474 -1.703852
22.000000 0.807688 -0.398691 -1.232999
23.000000 -1.333367 -0.474227 -1.599536
24.000000 0.708424 -0.601209 -0.656506
25.000000 -1.951015 -0.775888 -1.896586
26.000000 -0.205935 -1.435186 -0.614569
