# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 -0.060322 0.078528 -0.145434 0.998624 0.051258 0.000129 0.011071
2.000000 0.012874 -0.018183 0.129713 0.999728 0.017509 0.009323 0.012228
3.000000 0.170643 -0.057532 0.398910 0.987938 0.010162 -0.116215 -0.101829
4.000000 0.397488 0.005313 -0.056587 0.935163 0.032612 -0.240331 -0.258164
5.000000 0.571941 0.380311 -0.125469 0.923541 0.058244 -0.201196 -0.321248
6.000000 0.680185 0.584237 -0.274128 0.902968 0.056955 -0.210773 -0.370108
7.000000 0.608149 0.477764 -0.148660 0.914748 0.080713 -0.210653 -0.335181
8.000000 0.440318 0.434855 0.052888 0.947983 0.109604 -0.138862 -0.264636
