# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 -0.002854 0.008084 0.012575
2.000000 -0.004037 0.003468 0.015278
3.000000 -0.018275 -0.014078 0.002816
4.000000 -0.002084 -0.094108 -0.123140
5.000000 0.029371 -0.279873 -0.381849
6.000000 0.087944 -0.307851 -0.665525
7.000000 0.085978 -0.272070 -0.884303
8.000000 0.096025 -0.291344 -1.056701
9.000000 0.115319 -0.390739 -1.221837
10.000000 0.143618 -0.441962 -1.231540
11.000000 0.184285 -0.460526 -1.142439
12.000000 0.136858 -0.353860 -0.979654
13.000000 -0.023352 -0.183057 -0.501664
14.000000 -0.132530 -0.082771 -0.091336
15.000000 -0.090220 0.026917 0.032847
16.000000 -0.044487 0.144573 0.081047
17.000000 -0.054710 0.058222 0.033245
18.000000 -0.054715 -0.024492 -0.021568
19.000000 0.109077 -0.418188 -1.205951
