# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 0.022648 0.041934 0.131885 0.998598 -0.050055 0.016458 0.005052
2.000000 0.036897 0.092046 0.380316 0.994935 -0.086702 0.050304 0.007526
3.000000 0.055297 0.110468 0.524958 0.994007 -0.090121 0.061431 0.007386
4.000000 0.079646 0.130220 0.573592 0.993998 -0.093477 0.056119 0.009032
5.000000 0.081597 0.148147 0.569353 0.994109 -0.100433 0.038760 0.012597
6.000000 0.033981 0.084141 0.396302 0.997020 -0.071104 0.028595 0.008816
7.000000 0.020520 0.044993 0.236940 0.999156 -0.036347 0.019112 -0.000161
8.000000 0.051909 -0.023591 -0.069120 0.999509 -0.024832 -0.018755 -0.003780
9.000000 0.058541 -0.036887 -0.348413 0.998542 -0.010149 -0.052590 -0.006692
10.000000 -0.052114 -0.047308 -0.608509 0.998858 0.008596 -0.042828 0.019332
11.000000 -0.233308 -0.252481 -0.749188 0.999442 -0.019118 -0.019565 0.019161
12.000000 -0.355269 -0.439479 -0.756747 0.998899 -0.046415 -0.001665 0.006617
13.000000 -0.458560 -0.563535 -0.622504 0.997720 -0.049418 0.038616 -0.024928
14.000000 -0.625296 -0.748826 -0.159692 0.973396 -0.204576 -0.082595 -0.061855
15.000000 -0.790380 -0.927511 -0.070367 0.928533 -0.290348 -0.221335 -0.067342
16.000000 -0.615296 -1.106933 -0.313769 0.900750 -0.296156 -0.315822 -0.034610
17.000000 -0.454057 -0.596474 -0.233331 0.968677 -0.198446 -0.148782 -0.012188
18.000000 -0.191473 -0.245081 -0.268729 0.995100 -0.096988 0.016318 -0.010195
19.000000 0.002745 -0.176022 -0.458813 0.994669 -0.011241 0.098374 -0.028806
20.000000 0.176097 0.017488 -0.591950 0.998125 0.059528 -0.011099 -0.008938
21.000000 0.330151 0.114690 -0.403096 0.981840 0.049054 -0.180278 0.032929
22.000000 0.164712 0.135704 -0.073491 0.987112 -0.044857 -0.153530 0.005073
23.000000 0.269450 0.363985 0.195508 0.990476 -0.117964 -0.065886 -0.026468
24.000000 0.258753 0.411902 -0.504917 0.997222 0.016375 0.069349 0.021688
25.000000 0.213070 0.407661 -0.886430 0.993547 0.065778 0.089034 0.024704
26.000000 0.430407 0.371193 -0.623390 0.995268 0.063743 -0.072873 -0.008240
27.000000 0.481744 0.304597 -0.463562 0.993194 0.046060 -0.100455 -0.036773
28.000000 0.286330 0.211442 -0.307166 0.998405 -0.011605 -0.045857 -0.030808
29.000000 0.225127 0.357502 0.040016 0.997086 -0.071747 -0.007111 -0.024939
