# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.100837 -0.166785 -0.021866
2.000000 0.370179 -0.661249 -0.409709
3.000000 0.418021 -0.850181 -1.150780
4.000000 0.834458 -1.152167 -1.590077
5.000000 0.849364 -1.084434 -1.547985
6.000000 0.691229 -1.249238 -1.197399
7.000000 0.543516 -1.078424 -0.956375
8.000000 0.402332 -0.573772 -1.130299
9.000000 0.233004 -0.285590 -0.186077
10.000000 -0.133072 0.103372 0.690020
11.000000 -0.201718 0.137747 0.726399
12.000000 -0.227749 0.109095 0.515491
13.000000 -0.304262 0.178002 0.513280
14.000000 -0.397015 0.181090 0.849865
15.000000 -0.310967 0.158404 0.751463
16.000000 -0.191331 0.106275 0.548234
17.000000 -0.178939 0.091287 0.479742
18.000000 -0.181255 0.114595 0.346436
19.000000 -0.175713 0.099160 0.369236
20.000000 -0.155543 0.082902 0.435108
