# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 -0.022697 0.032331 0.002172
2.000000 -0.057698 0.081711 -0.018102
3.000000 -0.153061 0.072777 0.026313
4.000000 0.035802 -0.233738 -0.248429
5.000000 0.219455 -0.489688 -0.707979
6.000000 0.196672 -0.481956 -1.115595
7.000000 0.155259 -0.424226 -1.406207
8.000000 0.143981 -0.408091 -1.410801
9.000000 0.157806 -0.449550 -1.602761
10.000000 0.206762 -0.441178 -1.527689
11.000000 0.208435 -0.445374 -1.443232
12.000000 0.148490 -0.423598 -1.378478
13.000000 0.113060 -0.415099 -1.276523
14.000000 0.141677 -0.361545 -1.109945
15.000000 0.401915 -1.195534 -1.861206
16.000000 -0.118013 -1.497523 -1.476276
17.000000 0.180962 -1.631737 -0.809903
18.000000 0.442745 -1.701181 -0.305276
19.000000 0.449496 -1.386234 -0.162407
20.000000 0.450077 -1.216984 -0.387423
21.000000 0.442978 -1.095193 -0.507166
22.000000 0.480208 -1.428682 -0.644917
23.000000 0.521623 -1.836937 -0.824099
24.000000 0.682587 -2.172975 -1.066908
25.000000 0.800944 -2.363220 -1.129244
26.000000 0.768966 -2.573069 -1.142214
27.000000 0.682717 -2.726856 -1.082288
