# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.264550 -0.370441 -0.291021
2.000000 0.327741 -0.412614 -1.093610
3.000000 0.285583 -0.261708 -1.676932
4.000000 0.257440 -0.209927 -1.609971
5.000000 0.233985 -0.227209 -1.374014
6.000000 0.174473 -0.280080 -1.092472
7.000000 0.140513 -0.361233 -0.468158
8.000000 0.283216 -0.447994 0.037115
9.000000 0.590396 -0.396033 0.092755
10.000000 0.893645 -0.320111 0.043448
11.000000 0.761945 -0.424541 -0.494598
12.000000 0.629264 -0.491507 -0.682605
13.000000 0.496689 -0.552620 -0.866963
14.000000 0.353630 -0.511568 -0.876058
15.000000 0.318591 -0.385342 -0.857729
16.000000 0.219523 -0.159487 -0.832529
17.000000 0.070370 0.014032 -0.856623
18.000000 -0.126062 0.094432 -0.876743
19.000000 0.100234 0.238564 -0.764516
20.000000 0.129971 0.237175 -0.902060
21.000000 0.224697 -0.230655 -0.745717
