direction,arm,start_12,end_12,start_22,end_22,start_23,end_23,start_24,end_24,start_25,end_25,start_26,end_26,start_27,end_27,start_28,end_28
forward,right,0.0215609520673751,0.1617874950170517,-0.073319487273693,-0.8728710412979126,-0.0229969322681427,-0.2286582291126251,-0.0190669018775224,-0.2028809487819671,0.1412340998649597,0.5638218522071838,0.0268206968903541,0.0275397486984729,-0.2164063453674316,0.2046867311000824,0.0940483659505844,0.0817535072565078
down,right,0.1615866124629974,0.1639301925897598,-0.8468892574310303,-0.0724086910486221,-0.2278313040733337,0.0265698265284299,-0.2023296803236007,-0.2038996070623397,0.5579615831375122,0.980657160282135,0.0275876857340335,0.028174914419651,0.2360106259584427,0.0689140930771827,0.0819145813584327,0.0182620417326688
forward,right,0.1638632416725158,0.2735026776790619,-0.063588298857212,-0.449120819568634,0.0250118765980005,-0.1488552689552307,-0.2047504931688308,-0.2095801383256912,0.9974470734596252,1.1032557487487793,0.0282468181103467,-0.1271526366472244,0.0689524412155151,0.0304111707955598,0.0182697121053934,-0.0628778785467147
back,right,0.2735428512096405,0.1722063869237899,-0.4276331067085266,0.7051158547401428,-0.1208001971244812,0.0075508616864681,-0.2073031216859817,-0.0087365005165338,1.1034115552902222,0.4477066993713379,-0.1271646171808242,-0.1268530189990997,0.0303958300501108,-0.9384511709213256,-0.0628625378012657,0.2423459738492965
forward,right,0.1723001301288604,0.1044032201170921,0.5162205100059509,-0.5783587098121643,0.0074909403920173,-0.0223018452525138,-0.0084848310798406,-0.2105987966060638,0.5434126853942871,0.9091233015060424,-0.127560093998909,-0.1268050819635391,-0.9384357929229736,-0.2203410118818283,0.2423536330461502,0.000613592332229
down,right,0.1044433936476707,0.1050995960831642,-0.5783946514129639,-0.0574164241552352,-0.014859639108181,0.0242448858916759,-0.2047624737024307,-0.2033243626356125,0.9093030691146852,1.1666404008865356,-0.1275001764297485,-0.1293936818838119,-0.2202413082122802,0.0350207835435867,0.000582912703976,-0.0002454369387123
left,right,0.1051129922270774,0.0704949423670768,-0.0672554746270179,-0.3696054816246032,0.0252036247402429,0.1129760891199112,-0.2034082561731338,0.8887381553649902,1.165921330451965,0.534676194190979,-0.129142016172409,0.4216889441013336,0.0350744724273681,0.0346296168863773,-0.0002607767528388,0.2059215903282165
forward,right,0.0705217197537422,0.1643051654100418,-0.3365889489650726,-0.7577505707740784,0.0925669521093368,0.0020141489803791,0.8897687792778015,0.1788405925035476,0.533621609210968,0.5608617663383484,0.4212215542793274,0.4195557534694671,0.0346986465156078,0.1925759613513946,0.2059292644262313,0.0595798157155513
left,right,0.1644792556762695,0.1800272464752197,-0.70644611120224,-0.3836629986763,0.0268933996558189,0.1408633887767791,0.1928381621837616,0.6882780194282532,0.5546659231185913,0.2913245260715484,0.4192681312561035,0.2240930348634719,0.1926373243331909,0.1279340088367462,0.0952602103352546,-0.0312701985239982
back,right,0.1800540387630462,0.1931111365556717,-0.3380749821662903,0.3969055414199829,0.1211373507976532,-0.1625052988529205,0.694413959980011,0.5834400057792664,0.2589191794395447,-0.1701759994029998,0.2238892912864685,0.0281868986785411,0.1291688531637191,-0.3197813332080841,-0.0311321411281824,0.1336710900068283
forward,right,0.1931647062301635,0.2437860667705536,0.3964861035346985,-0.5866158604621887,-0.1621218025684356,0.1126645058393478,0.5840871930122375,0.1407906711101532,-0.1355415880680084,0.7894129157066345,0.0280311033129692,0.0285464245826005,-0.3209011256694793,-0.0591349638998508,0.1341236233711242,0.0295828208327293
