# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 -0.308740 0.354449 0.143075
2.000000 -0.694828 0.709352 0.220570
3.000000 -0.696362 0.688052 0.224069
4.000000 -0.267437 0.316938 0.130569
5.000000 0.228907 -0.212194 -0.227765
6.000000 0.545127 -0.554633 -0.615944
7.000000 0.780429 -0.783018 -0.959037
8.000000 0.682099 -0.768683 -1.038053
9.000000 0.531068 -0.559651 -0.734580
10.000000 0.445320 -0.376030 -0.380638
11.000000 0.225241 -0.142343 0.119202
12.000000 -0.265674 -0.104093 0.173684
13.000000 -0.771019 0.363185 0.215326
14.000000 -0.981881 0.674643 0.208144
15.000000 -1.131419 0.963984 0.310582
16.000000 -1.231756 1.037473 0.570080
17.000000 -1.210696 0.988728 0.803807
18.000000 -1.181914 0.957119 0.957021
19.000000 -1.139820 0.913316 1.104029
20.000000 -1.109020 0.917834 0.955870
21.000000 -1.162468 0.968439 1.043451
22.000000 -1.209671 0.990293 1.245418
23.000000 -1.286309 1.040308 1.564457
