# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.004561 -0.019758 -0.279709
2.000000 -0.018660 -0.040741 -0.514850
3.000000 -0.022948 -0.017383 -0.503440
4.000000 0.010408 0.005551 -0.265866
5.000000 0.064996 0.051501 0.088983
6.000000 -0.047781 0.095145 0.291982
7.000000 -0.094674 0.099160 0.365927
8.000000 -0.031214 0.175045 0.485450
9.000000 -0.008128 0.154562 0.644319
10.000000 -0.083204 0.482962 0.585339
11.000000 -0.499824 0.672792 0.714986
12.000000 -0.749278 0.787754 0.680562
13.000000 -1.218436 0.932963 0.721354
14.000000 -1.938505 2.034004 0.858400
15.000000 -1.828060 2.009003 0.745336
16.000000 -1.754703 1.906721 0.691085
17.000000 -1.719277 1.925896 0.636324
18.000000 -1.712468 1.990507 0.681455
19.000000 -1.878067 1.864967 0.577943
20.000000 -1.861471 1.264220 0.634608
21.000000 -2.726998 1.102007 1.207193
22.000000 -3.050844 0.325776 1.124425
23.000000 -2.629712 0.004519 1.652371
24.000000 -2.467364 -0.637569 1.784985
25.000000 -2.253130 -0.975680 2.169567
26.000000 -1.626968 0.016400 2.807852
27.000000 -2.439479 1.824155 2.158364
28.000000 -3.236236 1.650327 3.059264
