timestamp,gx,gy,gz,ax,ay,az
153.6245987,-0.061458297,0.007000027,0.088096395,-0.0705525,0.0049274485,-1.0062097
153.62887121,-0.057197243,0.009130556,0.08703113,-0.07250562,0.0037067453,-1.0025476
153.63459847,-0.05400145,0.007000027,0.088096395,-0.073482186,0.005171589,-0.9966883
153.63890728,-0.050805658,0.0059347637,0.088096395,-0.07616773,0.0061481516,-0.9959559
153.64459902,-0.05400145,0.0059347637,0.088096395,-0.07543531,0.0078571355,-0.99986213
153.64880202,-0.046544597,0.008065293,0.090226926,-0.072993904,0.008589557,-1.004989
153.6545979,-0.048675127,0.008065293,0.089161664,-0.07201734,0.009077839,-1.004989
153.65871952,-0.046544597,0.008065293,0.09129219,-0.07397047,0.003218464,-1.0030359
153.66459969,-0.048675127,0.007000027,0.09235746,-0.078365,0.0061481516,-0.99644417
153.66872448,-0.047609862,0.009130556,0.09235746,-0.077632576,0.0073688547,-0.99693245
