# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 0.039105 -0.047423 0.537509 0.999337 -0.010666 0.033348 -0.009993
2.000000 0.113142 -0.084534 1.072145 0.997349 -0.021317 0.066651 -0.019973
3.000000 0.176427 -0.090768 1.389103 0.996204 -0.018058 0.083143 -0.018419
4.000000 0.208777 0.048574 1.844253 0.997859 -0.045933 0.046399 -0.003944
5.000000 0.183070 0.048573 1.542900 0.998554 -0.053498 -0.005300 0.000170
6.000000 0.132000 -0.076676 0.970386 0.999004 -0.041301 0.016268 -0.004595
7.000000 0.010376 -0.088702 0.323835 0.999563 -0.011248 0.024541 -0.012007
8.000000 0.010365 -0.029099 0.438835 0.999536 -0.002901 0.027555 -0.012667
9.000000 -0.078382 -0.060038 0.768978 0.988892 0.035542 0.143574 -0.014690
10.000000 -0.107980 -0.070261 0.981954 0.979728 0.014339 0.199751 -0.005122
11.000000 0.054740 -0.022534 1.209450 0.991953 -0.022691 0.124258 -0.008673
12.000000 0.176807 0.034311 1.316276 0.997689 -0.066860 -0.006923 -0.009872
13.000000 0.186967 0.068108 1.485095 0.993007 -0.079619 -0.086886 -0.006924
14.000000 0.196431 0.039414 1.468590 0.994331 -0.073175 -0.076883 -0.006342
15.000000 0.127156 -0.122276 1.150614 0.997220 -0.022226 0.070236 -0.011217
16.000000 -0.024398 -0.084644 0.684490 0.983078 0.058294 0.172884 -0.016421
17.000000 -0.004365 -0.016781 0.618976 0.989481 0.062122 0.130151 -0.011322
18.000000 -0.011471 -0.085451 0.666438 0.995771 0.036875 0.084097 -0.002752
19.000000 0.018582 -0.185349 0.726595 0.999201 -0.012214 0.037862 -0.003821
20.000000 0.121307 -0.136116 0.862261 0.998897 -0.031701 0.029926 -0.017436
21.000000 0.195951 0.003376 1.191199 0.997942 -0.035950 0.050822 -0.015372
22.000000 0.157601 0.016545 1.346454 0.997476 -0.052215 0.046383 -0.012775
23.000000 0.059098 -0.306344 1.156560 0.988390 -0.145394 0.038315 -0.021833
24.000000 -0.033336 -0.534488 0.892030 0.976897 -0.201994 0.066188 -0.022145
25.000000 0.152830 -0.456204 0.686821 0.978343 -0.204299 -0.033200 0.002267
26.000000 0.231280 0.129391 1.337592 0.995554 -0.066283 -0.064986 -0.016015
27.000000 0.157546 0.026753 1.341700 0.994920 -0.099492 0.005853 -0.014221
28.000000 0.048493 -0.072071 1.127073 0.993505 -0.097946 0.055507 -0.016556
29.000000 0.058082 -0.013297 1.163714 0.994542 -0.063743 0.069853 -0.044092
30.000000 0.164187 0.000698 1.177652 0.996529 -0.060875 0.014979 -0.054774
31.000000 0.219476 0.026465 1.132629 0.996410 -0.048863 -0.018397 -0.066646
32.000000 0.223651 0.077824 1.046808 0.993197 -0.045373 -0.008763 -0.106882
33.000000 0.282784 0.146225 0.997691 0.984985 -0.037791 -0.006299 -0.168335
34.000000 0.394620 0.113627 1.289784 0.941686 -0.027167 -0.083626 -0.324802
35.000000 0.361616 0.044375 1.520173 0.896491 -0.020376 -0.152666 -0.415430
36.000000 0.472067 0.335441 1.660768 0.873412 -0.068520 -0.046683 -0.479872
37.000000 0.740875 0.328452 1.004911 0.910034 -0.080626 -0.004826 -0.406588
38.000000 0.961700 0.155768 0.531317 0.940727 -0.110704 -0.062860 -0.314366
39.000000 0.915028 0.109636 0.202385 0.969852 -0.129024 -0.086136 -0.187939
40.000000 0.920828 0.162752 0.209726 0.975215 -0.084557 -0.189367 -0.077110
41.000000 0.796173 0.197858 1.191368 0.982542 -0.022505 -0.182013 -0.031242
42.000000 0.556671 -0.137251 1.500559 0.993419 -0.012909 -0.093249 -0.065244
43.000000 0.922083 0.020541 1.264434 0.989485 -0.078521 -0.113360 -0.043620
44.000000 1.203275 0.125491 1.030193 0.983897 -0.112197 -0.136111 -0.028859
45.000000 1.371222 0.216206 1.319703 0.993519 -0.074271 -0.056381 -0.064993
46.000000 1.027513 -0.028464 0.982226 0.979232 -0.009014 0.044301 -0.197636
47.000000 1.297808 -0.105016 0.896967 0.967512 -0.054945 -0.085063 -0.231658
48.000000 1.411218 -0.093616 0.807091 0.950440 -0.109012 -0.166595 -0.238802
49.000000 1.380613 -0.047761 0.952786 0.961295 -0.084473 -0.136844 -0.223721
50.000000 1.300235 -0.013491 0.898917 0.970576 -0.074254 -0.050910 -0.223329
51.000000 1.225064 0.171538 1.148330 0.974727 -0.055170 0.005859 -0.216400
52.000000 1.178014 0.215281 1.509278 0.976760 -0.039256 0.026303 -0.209060
53.000000 1.316572 0.015253 1.282017 0.982636 -0.048135 -0.039537 -0.174773
54.000000 1.486170 -0.177841 1.024500 0.978739 -0.085654 -0.122510 -0.140442
55.000000 1.541709 -0.238671 0.656519 0.979105 -0.070381 -0.144198 -0.124926
56.000000 1.367208 0.122541 1.082589 0.989155 -0.042984 -0.028761 -0.137465
57.000000 1.293945 0.219287 1.429508 0.984854 -0.034641 0.064584 -0.157138
58.000000 1.026542 0.126681 1.014679 0.982627 -0.036203 0.029604 -0.179604
59.000000 0.887048 -0.146819 0.670006 0.971740 -0.103047 -0.035924 -0.209316
60.000000 1.321626 -0.177244 0.834339 0.972868 -0.079020 -0.086459 -0.199520
61.000000 1.552444 0.095943 1.513713 0.973643 -0.041022 -0.078992 -0.209990
62.000000 1.549052 0.100837 1.380145 0.957969 0.006391 -0.055321 -0.281413
63.000000 1.426038 0.094974 1.391189 0.921134 -0.045376 0.044279 -0.384048
64.000000 1.263721 0.096129 1.062521 0.940480 -0.111079 -0.029363 -0.319839
65.000000 1.334939 -0.067582 1.182771 0.958320 -0.139946 -0.072459 -0.238300
66.000000 1.139609 -0.044003 1.028905 0.983306 -0.067419 -0.035405 -0.165259
67.000000 1.195972 0.004064 1.406923 0.996623 -0.023237 0.049817 -0.060998
68.000000 1.120438 0.106812 1.121240 0.987850 -0.023114 0.098530 0.117937
