timestamp,gx,gy,gz,ax,ay,az
275.23474011,-0.02097825,-0.0025873529,0.01991947,-0.82863617,-0.06422765,-9.784698
275.23913,-0.023108779,-0.0025873529,0.01991947,-0.79271084,-0.05704259,-9.794278
275.24456833,-0.022043515,-0.0015220884,0.020984735,-0.79031587,-0.018722279,-9.789488
275.24880453,-0.02097825,-0.0025873529,0.01991947,-0.7639706,-0.006747181,-9.837388
275.25474044,-0.02097825,-0.00045682397,0.023115266,-0.7735507,-0.023512317,-9.875708
275.25923625,-0.022043515,0.0006084405,0.023115266,-0.79031587,-0.042672474,-9.846968
275.26456655,-0.022043515,0.001673705,0.023115266,-0.7951059,-0.018722279,-9.794278
275.2689398,-0.02097825,0.0027389694,0.024180528,-0.814266,-0.033092394,-9.765537
275.27474199,-0.023108779,0.001673705,0.023115266,-0.79989594,-0.006747181,-9.782303
275.27908247,-0.02097825,0.001673705,0.024180528,-0.80468595,0.0076229367,-9.851758
275.28468683,-0.022043515,0.0027389694,0.020984735,-0.7639706,0.005227917,-9.858943
275.28881984,-0.02097825,0.0027389694,0.02205,-0.7519955,-0.0043521617,-9.834992
275.29466464,-0.02097825,0.0059347637,0.018854205,-0.7519955,-0.033092394,-9.815832
275.29881916,-0.023108779,0.007000027,0.01991947,-0.7687607,-0.042672474,-9.784698
275.30474044,-0.02097825,0.007000027,0.017788943,-0.79271084,-0.040277455,-9.772722
275.30912891,-0.019912984,0.0059347637,0.016723678,-0.77834076,-0.0091422,-9.777513
275.31473897,-0.019912984,0.007000027,0.015658412,-0.7591806,0.017203014,-9.820622
275.31891576,-0.022043515,0.008065293,0.01246262,-0.70649016,0.012412976,-9.861338
275.32473969,-0.02097825,0.009130556,0.014593147,-0.7256503,-0.01393224,-9.858943
275.32902241,-0.023108779,0.007000027,0.013527885,-0.7304404,0.021993056,-9.832598
275.33473885,-0.016717192,0.008065293,0.011397354,-0.7304404,0.0028328972,-9.770328
275.33896814,-0.015651926,0.007000027,0.010332089,-0.7591806,0.00043787766,-9.758352
275.34473975,-0.019912984,0.008065293,0.013527885,-0.7256503,0.04833827,-9.784698
275.34880861,-0.022043515,0.007000027,0.01246262,-0.7256503,0.07468349,-9.844573
275.35473866,-0.017782457,0.009130556,0.013527885,-0.71128017,0.06031337,-9.839783
275.35891012,-0.019912984,0.0101958215,0.013527885,-0.7376254,0.036363173,-9.832598
275.36474156,-0.016717192,0.011261085,0.013527885,-0.7040951,0.04833827,-9.7990675
275.36916573,-0.016717192,0.0101958215,0.014593147,-0.70649016,0.06510341,-9.777513
275.37474122,-0.013521398,0.0101958215,0.014593147,-0.7017001,0.05073329,-9.794278
275.3790987,-0.014586663,0.0101958215,0.013527885,-0.70649016,0.06989345,-9.818228
275.38467996,-0.014586663,0.0101958215,0.008201562,-0.69212,0.081868544,-9.832598
275.38892576,-0.0113908695,0.0101958215,0.010332089,-0.67056483,0.05791835,-9.854153
275.39473984,-0.013521398,0.0101958215,0.009266827,-0.67295986,0.031573135,-9.856547
275.39885275,-0.012456134,0.011261085,0.006071031,-0.67056483,0.04115321,-9.784698
275.40474616,-0.012456134,0.011261085,0.003940504,-0.67774993,0.04833827,-9.758352
275.40901492,-0.013521398,0.0101958215,0.003940504,-0.6490097,0.055523332,-9.767933
275.41474587,-0.010325605,0.009130556,0.0028752387,-0.6585898,0.11060878,-9.837388
275.41905164,-0.010325605,0.009130556,0.0028752387,-0.6322445,0.1130038,-9.875708
275.42465533,-0.009260341,0.008065293,0.0050057694,-0.65619475,0.06031337,-9.866128
275.42883691,-0.009260341,0.0101958215,0.0018099733,-0.6370346,0.031573135,-9.823017
275.4347398,-0.009260341,0.009130556,0.0028752387,-0.62984955,0.055523332,-9.777513
275.43913032,-0.009260341,0.009130556,0.003940504,-0.64421964,0.045943253,-9.782303
275.44473964,-0.008195076,0.009130556,0.0050057694,-0.6394296,0.045943253,-9.813437
275.4490616,-0.0039340183,0.007000027,0.003940504,-0.64421964,0.07468349,-9.837388
275.45467496,-0.0071298117,0.007000027,0.0050057694,-0.59152925,0.06031337,-9.863733
275.45884605,-0.0039340183,0.0059347637,0.0050057694,-0.6011093,0.019598035,-9.861338
275.4647009,-0.002868753,0.007000027,0.0050057694,-0.6106894,-0.001957142,-9.827807
275.46881978,-0.0071298117,0.008065293,0.0028752387,-0.6202694,0.0076229367,-9.777513
275.47473978,-0.0039340183,0.007000027,0.0018099733,-0.6274545,-0.001957142,-9.782303
275.47914284,-0.002868753,0.0059347637,0.0018099733,-0.63463956,-0.006747181,-9.8062525
275.48473945,-0.006064547,0.0038042339,0.0007447116,-0.5771591,0.012412976,-9.866128
275.48896,-0.0039340183,0.0038042339,0.0007447116,-0.59152925,0.012412976,-9.866128
275.49474147,-0.0071298117,0.0048694983,-0.00032055378,-0.5891342,-0.049857534,-9.846968
275.4989046,-0.004999283,0.0038042339,0.0007447116,-0.6058994,-0.037882436,-9.787093
275.5047401,-0.0039340183,0.0038042339,0.0018099733,-0.57955414,-0.025907338,-9.765537
275.5089734,-0.0039340183,0.0038042339,0.0007447116,-0.5987143,-0.042672474,-9.779908
