# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 0.079364 0.104725 0.087028 0.999725 0.017667 0.009423 -0.012178
2.000000 0.528693 0.682967 0.743189 0.994590 0.091976 -0.046842 0.011701
3.000000 0.766570 1.184410 1.816191 0.986329 0.085541 -0.136565 0.034465
4.000000 0.882603 1.592934 2.481096 0.980724 0.031340 -0.186947 0.047428
5.000000 0.371471 1.098424 3.112806 0.972944 0.155014 -0.144648 0.091799
6.000000 0.066477 0.505510 3.022487 0.965138 0.219333 -0.086584 0.113599
7.000000 -0.202585 -0.098722 2.899059 0.949568 0.281887 -0.027823 0.134485
