# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.019649 -0.050010 -0.252782
2.000000 0.029673 -0.134432 -0.619116
3.000000 0.056119 -0.168489 -0.758862
4.000000 0.033442 -0.092547 -0.472908
5.000000 -0.030362 0.019747 0.015409
6.000000 0.024297 0.129088 0.242407
7.000000 0.114793 0.131648 0.318268
8.000000 0.181143 0.082822 0.242096
9.000000 -0.092435 0.092978 0.531221
10.000000 -0.569084 0.171516 0.741000
11.000000 -1.006752 0.166410 0.893501
12.000000 -0.975891 0.277896 0.863118
13.000000 -0.800569 0.358148 0.654669
14.000000 -0.093835 0.183256 0.454444
15.000000 0.653545 -0.011919 -0.488986
16.000000 0.753589 -0.025804 -0.947174
17.000000 0.569662 -0.015997 -0.656212
