# x y z reflectivity tag
-0.813000 -0.723000 -0.071000 24 0
-0.821000 -0.697000 -0.102000 15 0
-0.825000 -0.672000 -0.132000 15 0
-0.835000 -0.653000 -0.162000 23 0
-0.822000 -0.696000 -0.069000 24 0
-0.828000 -0.670000 -0.101000 15 0
-0.835000 -0.649000 -0.131000 18 0
-0.840000 -0.627000 -0.160000 23 0
-0.830000 -0.669000 -0.068000 24 0
-0.832000 -0.642000 -0.099000 14 0
-0.837000 -0.621000 -0.129000 17 0
-0.846000 -0.603000 -0.159000 23 0
-0.840000 -0.644000 -0.067000 24 0
-0.840000 -0.617000 -0.098000 14 0
-0.844000 -0.596000 -0.128000 14 0
-0.851000 -0.579000 -0.157000 22 0
-0.845000 -0.616000 -0.066000 23 0
-0.850000 -0.594000 -0.097000 14 0
-0.837000 -0.564000 -0.125000 16 0
-0.854000 -0.553000 -0.155000 22 0
-0.848000 -0.587000 -0.065000 23 0
-0.859000 -0.571000 -0.096000 14 0
-0.848000 -0.543000 -0.124000 16 0
-0.856000 -0.528000 -0.153000 21 0
-0.842000 -0.553000 -0.063000 21 0
-0.860000 -0.543000 -0.095000 14 0
-0.854000 -0.520000 -0.123000 16 0
-0.859000 -0.505000 -0.152000 21 0
-0.853000 -0.532000 -0.063000 21 0
-0.861000 -0.515000 -0.093000 14 0
-0.861000 -0.498000 -0.122000 15 0
-0.865000 -0.483000 -0.151000 21 0
-0.861000 -0.508000 -0.062000 17 0
-0.872000 -0.495000 -0.093000 16 0
-0.867000 -0.475000 -0.121000 16 0
0.000000 -0.000000 -0.000000 0 0
-0.869000 -0.484000 -0.062000 17 64
-0.782000 -0.420000 -0.082000 16 2
-0.862000 -0.447000 -0.119000 14 0
0.000000 -0.000000 -0.000000 0 0
-0.855000 -0.450000 -0.060000 20 0
-0.841000 -0.426000 -0.087000 14 0
-0.877000 -0.430000 -0.119000 15 0
-0.880000 -0.418000 -0.148000 20 0
-0.696000 -0.345000 -0.048000 6 0
-0.881000 -0.421000 -0.090000 14 0
-0.881000 -0.408000 -0.118000 15 0
-0.883000 -0.395000 -0.146000 19 0
-0.882000 -0.411000 -0.060000 17 64
-0.884000 -0.397000 -0.089000 14 0
-0.880000 -0.383000 -0.117000 15 0
-0.887000 -0.374000 -0.145000 19 0
-0.740000 -0.323000 -0.049000 7 0
-0.834000 -0.351000 -0.083000 17 1
-0.889000 -0.363000 -0.116000 15 0
0.000000 -0.000000 -0.000000 0 0
-0.643000 -0.262000 -0.042000 11 16
-0.592000 -0.233000 -0.058000 3 16
-0.584000 -0.223000 -0.075000 1 2
0.000000 -0.000000 -0.000000 0 0
-0.595000 -0.226000 -0.039000 9 16
-0.608000 -0.223000 -0.059000 5 16
-0.581000 -0.207000 -0.074000 1 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-0.608000 -0.198000 -0.039000 9 16
-0.594000 -0.187000 -0.056000 2 0
-0.915000 -0.280000 -0.115000 15 0
-0.906000 -0.269000 -0.140000 19 0
0.000000 -0.000000 -0.000000 0 0
-0.884000 -0.255000 -0.083000 18 0
-0.914000 -0.257000 -0.113000 15 0
-0.909000 -0.249000 -0.140000 19 0
-0.916000 -0.250000 -0.058000 17 0
-0.917000 -0.242000 -0.086000 14 0
-0.920000 -0.236000 -0.113000 15 0
-0.914000 -0.229000 -0.139000 19 0
-0.922000 -0.227000 -0.058000 17 64
-0.929000 -0.222000 -0.086000 14 0
-0.925000 -0.215000 -0.113000 15 0
-0.919000 -0.209000 -0.139000 19 0
-0.926000 -0.205000 -0.058000 17 0
-0.928000 -0.198000 -0.085000 14 0
-0.930000 -0.194000 -0.112000 15 0
-0.923000 -0.188000 -0.138000 19 0
-0.932000 -0.182000 -0.058000 17 0
-0.932000 -0.177000 -0.085000 14 0
-0.938000 -0.174000 -0.113000 15 0
-0.927000 -0.168000 -0.138000 19 0
-0.936000 -0.160000 -0.058000 17 0
-0.943000 -0.156000 -0.086000 14 0
-0.942000 -0.153000 -0.112000 15 0
-0.941000 -0.149000 -0.139000 19 0
-0.813000 -0.723000 -0.071000 24 0
-0.821000 -0.697000 -0.102000 15 0
-0.825000 -0.672000 -0.132000 15 0
-0.835000 -0.653000 -0.162000 23 0
-0.822000 -0.696000 -0.069000 24 0
-0.828000 -0.670000 -0.101000 15 0
