# x y z reflectivity tag
-0.651000 -1.221000 -0.802000 54 0
-0.667000 -1.190000 -0.833000 11 0
-0.674000 -1.153000 -0.860000 10 0
-0.677000 -1.109000 -0.881000 46 0
-0.670000 -1.187000 -0.788000 13 0
-0.676000 -1.144000 -0.811000 10 0
-0.676000 -1.100000 -0.832000 10 0
-0.691000 -1.081000 -0.871000 11 0
-0.674000 -1.129000 -0.759000 12 0
-0.682000 -1.096000 -0.786000 10 0
-0.691000 -1.071000 -0.821000 10 0
-0.703000 -1.050000 -0.858000 10 0
-0.688000 -1.093000 -0.744000 12 0
-0.696000 -1.062000 -0.773000 10 0
-0.698000 -1.031000 -0.802000 10 0
-0.710000 -1.013000 -0.841000 8 0
-0.701000 -1.055000 -0.728000 12 0
-0.703000 -1.021000 -0.754000 9 0
-0.709000 -0.998000 -0.788000 10 0
-0.716000 -0.978000 -0.825000 5 0
-0.709000 -1.014000 -0.709000 12 64
-0.714000 -0.987000 -0.740000 9 0
-0.718000 -0.965000 -0.774000 9 0
-0.721000 -0.942000 -0.808000 0 0
-0.721000 -0.980000 -0.696000 12 0
-0.722000 -0.951000 -0.724000 10 0
-0.725000 -0.931000 -0.759000 8 0
0.000000 -0.000000 -0.000000 0 0
-0.731000 -0.945000 -0.682000 13 64
-0.732000 -0.920000 -0.712000 10 0
-0.739000 -0.908000 -0.753000 6 0
0.000000 -0.000000 -0.000000 0 128
-0.737000 -0.906000 -0.665000 12 0
-0.742000 -0.889000 -0.700000 9 0
-0.740000 -0.868000 -0.733000 1 0
0.000000 -0.000000 -0.000000 0 128
-0.746000 -0.874000 -0.653000 16 64
-0.747000 -0.854000 -0.685000 7 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
-0.758000 -0.845000 -0.644000 11 0
-0.756000 -0.826000 -0.676000 4 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-0.765000 -0.813000 -0.632000 11 64
-0.761000 -0.793000 -0.663000 0 0
0.000000 -0.000000 -0.000000 0 0
-0.764000 -0.773000 -0.742000 4 0
-0.769000 -0.779000 -0.619000 7 64
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-0.768000 -0.746000 -0.731000 9 0
-0.770000 -0.743000 -0.604000 1 64
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-0.780000 -0.727000 -0.728000 15 0
0.000000 -0.000000 -0.000000 0 0
-0.816000 -0.741000 -0.663000 0 0
-0.784000 -0.706000 -0.676000 7 0
-0.789000 -0.704000 -0.722000 11 0
0.000000 -0.000000 -0.000000 0 0
-0.793000 -0.687000 -0.630000 2 0
-0.789000 -0.679000 -0.668000 10 0
-0.793000 -0.679000 -0.713000 14 0
0.000000 -0.000000 -0.000000 0 0
-0.797000 -0.659000 -0.621000 7 0
-0.802000 -0.660000 -0.666000 13 0
-0.798000 -0.654000 -0.705000 14 0
-0.805000 -0.639000 -0.576000 2 64
-0.795000 -0.627000 -0.607000 11 0
-0.804000 -0.632000 -0.655000 13 0
-0.803000 -0.630000 -0.697000 14 0
-0.813000 -0.615000 -0.571000 10 0
