# x y z reflectivity tag
-0.687000 -1.275000 0.092000 14 0
-0.703000 -1.215000 0.076000 15 0
-0.717000 -1.160000 0.060000 16 0
-0.730000 -1.105000 0.046000 17 0
-0.700000 -1.228000 0.091000 13 0
-0.716000 -1.174000 0.075000 16 0
-0.726000 -1.116000 0.058000 16 0
-0.731000 -1.055000 0.043000 16 0
-0.712000 -1.183000 0.090000 13 0
-0.725000 -1.127000 0.073000 16 0
-0.732000 -1.070000 0.055000 15 0
-0.741000 -1.019000 0.040000 16 0
-0.723000 -1.139000 0.089000 17 0
-0.734000 -1.085000 0.071000 15 0
-0.741000 -1.031000 0.053000 15 0
-0.748000 -0.980000 0.037000 16 0
-0.730000 -1.091000 0.088000 17 0
-0.739000 -1.038000 0.069000 15 0
-0.745000 -0.987000 0.051000 15 0
-0.754000 -0.942000 0.035000 16 0
-0.735000 -1.045000 0.086000 16 0
-0.747000 -1.000000 0.068000 15 0
-0.754000 -0.953000 0.049000 15 0
-0.764000 -0.911000 0.033000 17 0
-0.744000 -1.005000 0.085000 16 0
-0.755000 -0.963000 0.067000 15 0
-0.763000 -0.919000 0.047000 15 0
-0.773000 -0.882000 0.031000 17 0
-0.753000 -0.968000 0.085000 17 0
-0.765000 -0.929000 0.066000 15 0
-0.772000 -0.888000 0.046000 15 0
-0.782000 -0.851000 0.029000 17 0
-0.762000 -0.933000 0.084000 17 0
-0.774000 -0.896000 0.064000 15 0
-0.781000 -0.858000 0.044000 15 0
-0.796000 -0.828000 0.027000 18 0
-0.776000 -0.904000 0.084000 19 0
-0.784000 -0.866000 0.064000 15 0
-0.788000 -0.826000 0.043000 15 0
-0.799000 -0.795000 0.025000 17 0
-0.782000 -0.868000 0.083000 25 0
-0.790000 -0.832000 0.062000 15 0
-0.800000 -0.801000 0.042000 15 0
-0.811000 -0.770000 0.023000 24 0
-0.788000 -0.835000 0.082000 25 0
-0.802000 -0.806000 0.062000 15 0
-0.805000 -0.769000 0.040000 15 0
-0.817000 -0.741000 0.021000 23 0
-0.798000 -0.806000 0.082000 25 0
-0.807000 -0.774000 0.061000 15 0
-0.813000 -0.742000 0.039000 15 0
-0.826000 -0.716000 0.020000 24 0
-0.807000 -0.777000 0.082000 25 0
-0.814000 -0.744000 0.060000 15 0
-0.819000 -0.714000 0.038000 15 0
-0.832000 -0.689000 0.018000 24 0
-0.812000 -0.744000 0.081000 24 0
-0.825000 -0.720000 0.059000 15 0
-0.826000 -0.687000 0.037000 18 0
-0.837000 -0.662000 0.016000 19 0
-0.823000 -0.719000 0.081000 24 0
