timestamp,gx,gy,gz,ax,ay,az
2671.73004194,-0.012456134,-0.0068484107,0.011397354,-0.05053297,0.03617745,-1.0059656
2671.73488953,-0.010325605,-0.004717882,0.010332089,-0.045406017,0.035689168,-1.0081629
2671.74006456,-0.012456134,-0.0057831462,0.011397354,-0.04687086,0.033980183,-1.0045007
2671.74489391,-0.012456134,-0.004717882,0.011397354,-0.048335705,0.0322712,-0.99986213
2671.75005282,-0.014586663,-0.0057831462,0.01246262,-0.049312267,0.033491902,-0.997909
2671.75488901,-0.012456134,-0.0057831462,0.010332089,-0.05077711,0.033736043,-0.99937385
2671.76003586,-0.012456134,-0.004717882,0.010332089,-0.05004469,0.034468465,-1.0001062
2671.76489035,-0.014586663,-0.0068484107,0.011397354,-0.04662672,0.035200886,-1.0027918
2671.77003935,-0.013521398,-0.0057831462,0.010332089,-0.047359142,0.035200886,-1.0047449
2671.774889,-0.0113908695,-0.0057831462,0.011397354,-0.047847424,0.033736043,-1.0057214
2671.78019477,-0.012456134,-0.0057831462,0.010332089,-0.04980055,0.031294636,-1.0001062
2671.78488956,-0.0113908695,-0.0036526173,0.010332089,-0.05028883,0.029341511,-0.9954676
2671.79005517,-0.015651926,-0.0057831462,0.01246262,-0.05077711,0.03275948,-0.99644417
2671.79488973,-0.014586663,-0.0057831462,0.010332089,-0.05004469,0.038130574,-1.0023035
2671.8000371,-0.013521398,-0.0057831462,0.010332089,-0.048335705,0.03690987,-1.0086511
2671.80488851,-0.015651926,-0.0036526173,0.01246262,-0.047847424,0.03300362,-1.0071863
2671.81003433,-0.016717192,-0.0036526173,0.011397354,-0.047603283,0.0322712,-1.0008386
2671.81489098,-0.015651926,-0.0036526173,0.011397354,-0.047847424,0.03324776,-0.9971766
2671.82005944,-0.015651926,-0.0057831462,0.011397354,-0.05053297,0.034956746,-0.9971766
2671.82489043,-0.015651926,-0.0036526173,0.009266827,-0.05077711,0.031782918,-1.0008386
2671.83005051,-0.014586663,-0.0057831462,0.011397354,-0.049312267,0.03324776,-1.001571
2671.8348898,-0.014586663,-0.0057831462,0.01246262,-0.04687086,0.037642293,-1.0030359
2671.84003804,-0.009260341,-0.004717882,0.010332089,-0.04687086,0.03617745,-1.004989
2671.84488914,-0.010325605,-0.0057831462,0.009266827,-0.048579846,0.030073933,-1.0052332
2671.85003771,-0.012456134,-0.0057831462,0.010332089,-0.05053297,0.030318074,-0.9988856
2671.85488886,-0.0113908695,-0.0057831462,0.010332089,-0.049312267,0.035689168,-0.9949793
2671.86005926,-0.013521398,-0.004717882,0.01246262,-0.05053297,0.035200886,-0.99815315
2671.86489024,-0.0113908695,-0.0057831462,0.010332089,-0.048579846,0.03275948,-1.0071863
2671.87004981,-0.014586663,-0.004717882,0.01246262,-0.04662672,0.034956746,-1.0076746
2671.87488894,-0.015651926,-0.0036526173,0.01246262,-0.048091564,0.034712605,-1.0023035
2671.88017214,-0.014586663,-0.004717882,0.011397354,-0.048823986,0.03202706,-0.99766487
2671.88489048,-0.013521398,-0.004717882,0.01246262,-0.049068127,0.031538777,-0.99522346
2671.89004785,-0.0071298117,-0.0068484107,0.011397354,-0.05028883,0.03324776,-1.0003504
2671.89489076,-0.009260341,-0.0057831462,0.01246262,-0.051265392,0.035445027,-1.0035242
2671.90006253,-0.009260341,-0.007913675,0.010332089,-0.048091564,0.034224324,-1.0059656
2671.9048911,-0.0113908695,-0.0068484107,0.011397354,-0.047115,0.033736043,-1.0037683
2671.91005103,-0.0113908695,-0.0057831462,0.009266827,-0.0458943,0.03275948,-1.0042566
2671.91488934,-0.0113908695,-0.0057831462,0.011397354,-0.04980055,0.031782918,-1.0018152
2671.92003682,-0.0113908695,-0.0057831462,0.010332089,-0.05028883,0.0322712,-0.99644417
2671.92488888,-0.0113908695,-0.0057831462,0.009266827,-0.05077711,0.034468465,-0.99644417
2671.93003682,-0.013521398,-0.0057831462,0.011397354,-0.048579846,0.034468465,-1.0010828
2671.93489166,-0.0113908695,-0.0068484107,0.011397354,-0.04687086,0.034224324,-1.0081629
2671.94005865,-0.0113908695,-0.0068484107,0.010332089,-0.04687086,0.033736043,-1.0081629
2671.94488902,-0.015651926,-0.004717882,0.01246262,-0.048335705,0.03324776,-1.0013269
2671.95004836,-0.012456134,-0.004717882,0.011397354,-0.049312267,0.03324776,-0.9959559
2671.95488891,-0.009260341,-0.0068484107,0.01246262,-0.049312267,0.031050496,-0.99693245
2671.96003722,-0.010325605,-0.0057831462,0.011397354,-0.05053297,0.03324776,-1.0018152
2671.96489054,-0.0113908695,-0.0068484107,0.010332089,-0.048823986,0.037642293,-1.00328
2671.97003644,-0.008195076,-0.0057831462,0.010332089,-0.047359142,0.035200886,-1.0027918
2671.97488829,-0.016717192,-0.0036526173,0.010332089,-0.047359142,0.03300362,-1.0030359
2671.98021489,-0.013521398,-0.004717882,0.011397354,-0.047847424,0.031294636,-1.001571
2671.98488978,-0.010325605,-0.004717882,0.010332089,-0.048823986,0.030562215,-0.9991297
2671.99074521,-0.012456134,-0.0057831462,0.011397354,-0.05077711,0.034468465,-0.9962
2671.99488926,-0.012456134,-0.0057831462,0.011397354,-0.05053297,0.035689168,-0.99864143
2672.00004052,-0.012456134,-0.0068484107,0.010332089,-0.047847424,0.033491902,-1.0069422
2672.004889,-0.017782457,-0.0057831462,0.011397354,-0.04687086,0.03642159,-1.0088953
2672.01003811,-0.014586663,-0.004717882,0.011397354,-0.047359142,0.034224324,-1.0064539
2672.01488966,-0.010325605,-0.0068484107,0.01246262,-0.048823986,0.0322712,-0.9988856
2672.0200613,-0.01884772,-0.0057831462,0.013527885,-0.05028883,0.029829793,-0.99400276
