# x y z reflectivity tag
0.448000 -1.258000 -0.490000 4 2
0.381000 -1.260000 -0.490000 5 0
0.319000 -1.258000 -0.492000 7 0
0.263000 -1.268000 -0.499000 11 0
0.421000 -1.275000 -0.490000 4 0
0.356000 -1.281000 -0.494000 5 0
0.287000 -1.252000 -0.487000 8 0
0.235000 -1.278000 -0.501000 8 0
0.393000 -1.293000 -0.491000 4 0
0.327000 -1.292000 -0.494000 5 0
0.261000 -1.271000 -0.492000 10 0
0.206000 -1.282000 -0.502000 5 0
0.360000 -1.294000 -0.486000 6 0
0.301000 -1.316000 -0.499000 5 0
0.231000 -1.271000 -0.489000 9 0
0.000000 -0.000000 -0.000000 0 0
0.338000 -1.333000 -0.496000 5 0
0.270000 -1.325000 -0.499000 5 0
0.204000 -1.283000 -0.492000 8 0
0.000000 -0.000000 -0.000000 0 0
0.309000 -1.350000 -0.497000 5 0
0.241000 -1.338000 -0.500000 5 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.281000 -1.379000 -0.503000 9 0
0.213000 -1.360000 -0.505000 4 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.246000 -1.372000 -0.496000 12 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 192
0.215000 -1.387000 -0.498000 4 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
-0.124000 -3.045000 -1.191000 3 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 0
-0.126000 -2.004000 -0.786000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 192
-0.152000 -3.277000 -1.237000 18 0
