# x y z reflectivity tag
-1.123000 0.503000 -0.192000 0 64
-1.154000 0.493000 -0.218000 2 0
-1.150000 0.466000 -0.236000 2 0
-1.138000 0.435000 -0.252000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.154000 0.525000 -0.220000 2 0
-1.155000 0.498000 -0.238000 2 0
-1.148000 0.469000 -0.255000 2 0
-1.140000 0.577000 -0.201000 0 64
-1.176000 0.568000 -0.227000 2 0
-1.157000 0.530000 -0.240000 2 0
-1.147000 0.498000 -0.255000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.174000 0.601000 -0.229000 2 0
-1.168000 0.568000 -0.244000 1 0
-1.165000 0.536000 -0.260000 2 0
-1.172000 0.665000 -0.213000 0 64
-1.184000 0.641000 -0.233000 1 0
-1.180000 0.607000 -0.248000 1 0
-1.169000 0.570000 -0.262000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.194000 0.683000 -0.238000 2 0
-1.187000 0.645000 -0.252000 1 0
-1.178000 0.607000 -0.265000 1 0
-1.195000 0.756000 -0.225000 0 64
-1.210000 0.730000 -0.244000 1 0
-1.199000 0.687000 -0.257000 1 0
-1.183000 0.643000 -0.268000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.210000 0.769000 -0.248000 2 0
-1.206000 0.728000 -0.261000 1 0
-1.195000 0.685000 -0.272000 1 0
-1.223000 0.857000 -0.238000 0 64
-1.234000 0.825000 -0.256000 1 0
-1.224000 0.778000 -0.267000 1 0
-1.207000 0.727000 -0.276000 1 0
-1.239000 0.913000 -0.246000 10 0
-1.235000 0.868000 -0.260000 8 0
-1.227000 0.819000 -0.271000 1 0
-1.208000 0.765000 -0.279000 8 0
-1.258000 0.974000 -0.255000 1 0
-1.253000 0.925000 -0.268000 1 0
-1.233000 0.865000 -0.275000 9 0
-1.229000 0.817000 -0.285000 1 0
-1.212000 0.985000 -0.251000 11 0
-1.248000 0.967000 -0.272000 8 0
-1.255000 0.923000 -0.283000 1 0
-1.232000 0.859000 -0.288000 8 0
-1.191000 1.015000 -0.253000 1 0
-1.209000 0.982000 -0.268000 9 0
-1.253000 0.966000 -0.287000 8 0
-1.255000 0.917000 -0.296000 1 0
-1.209000 1.080000 -0.262000 47 0
-1.193000 1.016000 -0.269000 1 0
-1.227000 0.991000 -0.285000 1 0
-1.250000 0.957000 -0.298000 8 0
-1.236000 1.159000 -0.275000 13 0
-1.219000 1.087000 -0.281000 47 0
-1.186000 1.003000 -0.279000 9 0
