# x y z reflectivity tag
-0.983000 0.038000 -0.338000 23 0
-0.982000 0.022000 -0.364000 14 0
-0.976000 0.004000 -0.388000 15 0
-0.973000 -0.014000 -0.413000 22 0
-0.997000 0.062000 -0.343000 19 64
-0.985000 0.045000 -0.365000 17 0
-0.982000 0.026000 -0.389000 17 0
-0.980000 0.006000 -0.415000 23 0
-0.995000 0.086000 -0.343000 19 64
-0.993000 0.068000 -0.368000 17 0
-0.986000 0.048000 -0.390000 17 0
-0.985000 0.028000 -0.416000 23 0
-1.002000 0.111000 -0.347000 24 0
-0.993000 0.091000 -0.369000 17 0
-0.993000 0.071000 -0.393000 18 0
-0.986000 0.049000 -0.416000 18 64
-1.009000 0.136000 -0.350000 24 0
-1.002000 0.116000 -0.373000 18 0
-0.994000 0.093000 -0.394000 18 0
-0.990000 0.071000 -0.417000 18 64
-1.013000 0.161000 -0.353000 24 0
-1.009000 0.140000 -0.376000 15 0
-0.996000 0.116000 -0.395000 18 0
-0.999000 0.093000 -0.420000 23 0
-0.997000 0.183000 -0.349000 19 0
-1.012000 0.164000 -0.378000 14 0
-1.002000 0.139000 -0.398000 18 0
-1.006000 0.116000 -0.423000 19 64
-1.002000 0.208000 -0.352000 2 0
-1.000000 0.186000 -0.375000 9 0
-1.009000 0.164000 -0.401000 18 0
-1.006000 0.138000 -0.423000 23 0
-1.008000 0.235000 -0.356000 2 0
-1.002000 0.211000 -0.377000 2 0
-1.017000 0.188000 -0.405000 9 0
-1.010000 0.161000 -0.425000 17 64
-1.096000 0.283000 -0.390000 1 0
-1.017000 0.239000 -0.384000 2 0
-1.001000 0.209000 -0.400000 2 0
-0.996000 0.181000 -0.419000 12 64
-1.111000 0.315000 -0.398000 2 0
-1.105000 0.286000 -0.420000 2 0
-1.005000 0.233000 -0.402000 2 0
-0.997000 0.204000 -0.420000 2 64
-1.113000 0.344000 -0.402000 2 0
-1.108000 0.314000 -0.423000 2 0
-1.102000 0.282000 -0.443000 2 2
-1.005000 0.228000 -0.424000 2 0
-1.122000 0.376000 -0.409000 2 0
-1.111000 0.343000 -0.427000 2 0
-1.106000 0.310000 -0.446000 2 0
-1.093000 0.274000 -0.462000 2 0
-1.125000 0.407000 -0.413000 2 0
-1.119000 0.374000 -0.433000 2 0
-1.115000 0.340000 -0.452000 2 0
-1.107000 0.303000 -0.469000 2 0
-1.135000 0.441000 -0.421000 2 0
-1.127000 0.406000 -0.439000 2 0
-1.122000 0.369000 -0.457000 1 0
-1.110000 0.330000 -0.472000 2 0
-1.143000 0.476000 -0.428000 2 0
-1.131000 0.437000 -0.444000 2 0
-1.126000 0.399000 -0.461000 2 0
-1.118000 0.359000 -0.477000 1 0
-1.155000 0.513000 -0.437000 2 0
-1.141000 0.471000 -0.452000 2 0
-1.133000 0.430000 -0.467000 2 0
-1.114000 0.386000 -0.477000 2 0
-1.159000 0.548000 -0.444000 2 0
-1.147000 0.505000 -0.458000 2 0
-1.137000 0.461000 -0.472000 1 0
-1.124000 0.417000 -0.484000 2 0
-1.169000 0.587000 -0.453000 2 0
-1.157000 0.542000 -0.467000 1 0
-1.142000 0.494000 -0.477000 1 0
-1.134000 0.449000 -0.490000 1 0
-1.176000 0.625000 -0.462000 1 0
-1.164000 0.578000 -0.475000 2 0
-1.150000 0.528000 -0.484000 1 0
-1.140000 0.481000 -0.496000 2 0
-1.184000 0.666000 -0.472000 1 0
-1.170000 0.615000 -0.483000 1 0
-1.161000 0.565000 -0.493000 1 0
-1.150000 0.515000 -0.503000 1 0
-1.192000 0.707000 -0.482000 9 0
-1.177000 0.654000 -0.491000 2 0
-1.169000 0.602000 -0.501000 1 0
-1.150000 0.546000 -0.506000 1 0
-1.204000 0.753000 -0.494000 1 0
-1.189000 0.696000 -0.502000 1 0
-1.174000 0.639000 -0.508000 1 0
-1.158000 0.582000 -0.514000 1 0
-1.205000 0.794000 -0.503000 9 0
-1.197000 0.738000 -0.513000 8 0
-1.186000 0.680000 -0.519000 1 0
-1.174000 0.622000 -0.524000 9 0
-0.983000 0.038000 -0.338000 23 0
-0.982000 0.022000 -0.364000 14 0
-0.976000 0.004000 -0.388000 15 0
-0.973000 -0.014000 -0.413000 22 0
-0.997000 0.062000 -0.343000 19 64
-0.985000 0.045000 -0.365000 17 0
-0.982000 0.026000 -0.389000 17 0
-0.980000 0.006000 -0.415000 23 0
-0.995000 0.086000 -0.343000 19 64
-0.993000 0.068000 -0.368000 17 0
-0.986000 0.048000 -0.390000 17 0
-0.985000 0.028000 -0.416000 23 0
-1.002000 0.111000 -0.347000 24 0
-0.993000 0.091000 -0.369000 17 0
-0.993000 0.071000 -0.393000 18 0
-0.986000 0.049000 -0.416000 18 64
-1.009000 0.136000 -0.350000 24 0
-1.002000 0.116000 -0.373000 18 0
-0.994000 0.093000 -0.394000 18 0
-0.990000 0.071000 -0.417000 18 64
-1.013000 0.161000 -0.353000 24 0
-1.009000 0.140000 -0.376000 15 0
-0.996000 0.116000 -0.395000 18 0
-0.999000 0.093000 -0.420000 23 0
-0.997000 0.183000 -0.349000 19 0
-1.012000 0.164000 -0.378000 14 0
-1.002000 0.139000 -0.398000 18 0
-1.006000 0.116000 -0.423000 19 64
-1.002000 0.208000 -0.352000 2 0
-1.000000 0.186000 -0.375000 9 0
-1.009000 0.164000 -0.401000 18 0
-1.006000 0.138000 -0.423000 23 0
-1.008000 0.235000 -0.356000 2 0
-1.002000 0.211000 -0.377000 2 0
-1.017000 0.188000 -0.405000 9 0
-1.010000 0.161000 -0.425000 17 64
-1.096000 0.283000 -0.390000 1 0
-1.017000 0.239000 -0.384000 2 0
-1.001000 0.209000 -0.400000 2 0
