# x y z reflectivity tag
-0.819000 -0.536000 -0.933000 12 0
-0.825000 -0.498000 -0.988000 11 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 11 64
-0.829000 -0.515000 -0.929000 12 0
-0.833000 -0.478000 -0.985000 12 0
0.000000 -0.000000 -0.000000 12 64
0.000000 -0.000000 -0.000000 11 64
-0.832000 -0.491000 -0.919000 12 0
-0.835000 -0.455000 -0.975000 12 0
0.000000 -0.000000 -0.000000 11 64
0.000000 -0.000000 -0.000000 11 64
-0.835000 -0.467000 -0.909000 11 0
-0.844000 -0.435000 -0.974000 12 0
0.000000 -0.000000 -0.000000 12 64
0.000000 -0.000000 -0.000000 11 64
-0.839000 -0.444000 -0.901000 9 0
-0.845000 -0.412000 -0.965000 14 0
0.000000 -0.000000 -0.000000 11 64
0.000000 -0.000000 -0.000000 0 0
-0.841000 -0.421000 -0.892000 13 0
-0.850000 -0.391000 -0.961000 14 0
0.000000 -0.000000 -0.000000 10 0
0.000000 -0.000000 -0.000000 0 0
-0.849000 -0.401000 -0.890000 7 64
-0.859000 -0.372000 -0.962000 14 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
-0.840000 -0.373000 -0.871000 3 64
-0.838000 -0.341000 -0.929000 1 1
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
-0.802000 -0.334000 -0.822000 3 64
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 12 64
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 13 0
0.000000 -0.000000 -0.000000 0 0
-0.881000 -0.269000 -0.947000 7 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 11 0
-0.873000 -0.272000 -0.864000 2 0
-0.876000 -0.246000 -0.936000 8 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 11 0
-0.889000 -0.254000 -0.874000 7 0
-0.880000 -0.225000 -0.935000 8 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 11 0
-0.891000 -0.232000 -0.869000 7 0
-0.886000 -0.206000 -0.936000 8 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 11 0
-0.895000 -0.211000 -0.868000 8 0
-0.890000 -0.186000 -0.937000 8 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 12 0
-0.902000 -0.191000 -0.870000 8 0
-0.899000 -0.167000 -0.943000 14 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 12 0
-0.902000 -0.169000 -0.866000 10 0
-0.902000 -0.146000 -0.943000 14 0
0.000000 -0.000000 -0.000000 12 0
0.000000 -0.000000 -0.000000 10 0
-0.912000 -0.149000 -0.873000 10 0
-0.900000 -0.125000 -0.938000 13 0
0.000000 -0.000000 -0.000000 12 0
