# x y z reflectivity tag
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
1.437000 -2.399000 -0.462000 4 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.722000 -1.193000 -0.267000 48 0
1.381000 -2.437000 -0.466000 8 0
0.774000 -1.190000 -0.345000 4 64
0.748000 -1.221000 -0.311000 9 0
0.707000 -1.233000 -0.273000 10 0
1.323000 -2.471000 -0.468000 8 0
0.730000 -1.179000 -0.337000 73 0
0.716000 -1.231000 -0.309000 13 0
0.671000 -1.237000 -0.271000 9 0
1.264000 -2.505000 -0.472000 8 0
0.695000 -1.179000 -0.332000 13 0
0.664000 -1.204000 -0.299000 10 0
0.640000 -1.248000 -0.271000 8 0
1.207000 -2.539000 -0.475000 8 0
0.651000 -1.162000 -0.323000 12 0
0.650000 -1.243000 -0.306000 11 0
0.608000 -1.258000 -0.271000 4 0
1.145000 -2.565000 -0.477000 7 0
0.649000 -1.221000 -0.336000 13 0
0.617000 -1.250000 -0.304000 11 0
0.574000 -1.262000 -0.270000 2 0
0.894000 -2.141000 -0.396000 18 2
0.598000 -1.188000 -0.323000 1 0
0.588000 -1.261000 -0.304000 11 0
0.895000 -2.094000 -0.445000 32 0
0.840000 -2.158000 -0.398000 12 0
0.598000 -1.257000 -0.338000 13 0
0.556000 -1.267000 -0.303000 11 0
0.842000 -2.105000 -0.445000 21 0
0.861000 -2.380000 -0.438000 14 2
0.568000 -1.266000 -0.337000 14 0
0.853000 -2.072000 -0.491000 5 0
0.786000 -2.108000 -0.443000 103 0
0.726000 -2.167000 -0.398000 69 0
0.772000 -1.827000 -0.481000 3 0
0.800000 -2.077000 -0.489000 43 0
0.735000 -2.120000 -0.443000 100 0
0.801000 -2.594000 -0.475000 17 0
0.737000 -1.859000 -0.485000 22 0
0.754000 -2.099000 -0.490000 47 0
0.683000 -2.129000 -0.443000 95 0
0.748000 -2.646000 -0.485000 41 0
0.691000 -1.863000 -0.481000 11 0
0.704000 -2.110000 -0.489000 61 0
0.702000 -2.378000 -0.493000 9 2
0.703000 -2.735000 -0.501000 13 0
0.659000 -1.905000 -0.488000 21 0
0.655000 -2.122000 -0.490000 13 0
0.652000 -2.414000 -0.499000 10 0
0.634000 -2.739000 -0.502000 8 0
0.619000 -1.927000 -0.490000 20 0
0.608000 -2.143000 -0.492000 12 0
0.591000 -2.411000 -0.497000 9 0
0.567000 -2.745000 -0.504000 8 0
0.577000 -1.943000 -0.490000 17 0
0.559000 -2.158000 -0.493000 12 0
0.535000 -2.427000 -0.500000 9 0
0.498000 -2.741000 -0.504000 5 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 128
1.437000 -2.399000 -0.462000 4 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.722000 -1.193000 -0.267000 48 0
1.381000 -2.437000 -0.466000 8 0
0.774000 -1.190000 -0.345000 4 64
0.748000 -1.221000 -0.311000 9 0
0.707000 -1.233000 -0.273000 10 0
1.323000 -2.471000 -0.468000 8 0
0.730000 -1.179000 -0.337000 73 0
0.716000 -1.231000 -0.309000 13 0
0.671000 -1.237000 -0.271000 9 0
1.264000 -2.505000 -0.472000 8 0
0.695000 -1.179000 -0.332000 13 0
0.664000 -1.204000 -0.299000 10 0
0.640000 -1.248000 -0.271000 8 0
1.207000 -2.539000 -0.475000 8 0
0.651000 -1.162000 -0.323000 12 0
0.650000 -1.243000 -0.306000 11 0
0.608000 -1.258000 -0.271000 4 0
