# x y z reflectivity tag
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
-0.962000 0.124000 -0.940000 9 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
-0.972000 0.148000 -0.954000 13 0
-0.969000 0.153000 -1.045000 5 0
-0.952000 0.154000 -1.134000 20 0
0.000000 -0.000000 -0.000000 0 0
-0.983000 0.174000 -0.969000 13 0
-0.969000 0.176000 -1.049000 9 0
0.000000 -0.000000 -0.000000 8 0
-0.934000 0.175000 -1.245000 29 0
-0.980000 0.197000 -0.971000 8 0
-0.975000 0.199000 -1.061000 3 0
0.000000 -0.000000 -0.000000 3 0
0.000000 -0.000000 -0.000000 2 0
-0.973000 0.219000 -0.970000 1 0
-0.972000 0.222000 -1.063000 0 0
-0.963000 0.221000 -1.163000 5 0
-0.938000 0.217000 -1.262000 18 0
-0.988000 0.247000 -0.991000 6 0
-0.977000 0.246000 -1.075000 5 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-1.079000 0.297000 -1.090000 1 0
-1.073000 0.296000 -1.189000 0 0
-1.036000 0.285000 -1.265000 14 0
-0.929000 0.255000 -1.262000 18 0
-1.080000 0.324000 -1.100000 6 0
-1.070000 0.321000 -1.194000 6 0
-1.031000 0.307000 -1.266000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.089000 0.355000 -1.119000 0 0
-1.076000 0.350000 -1.210000 6 0
-1.020000 0.328000 -1.262000 12 0
-0.918000 0.293000 -1.261000 16 0
-1.086000 0.382000 -1.126000 6 0
-1.084000 0.379000 -1.229000 7 0
-1.013000 0.350000 -1.262000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.090000 0.412000 -1.141000 6 0
-1.096000 0.412000 -1.255000 10 0
-1.007000 0.373000 -1.264000 14 0
-0.908000 0.332000 -1.264000 15 0
-1.102000 0.446000 -1.166000 7 0
-1.100000 0.442000 -1.271000 11 0
-0.998000 0.394000 -1.264000 14 0
0.000000 -0.000000 -0.000000 0 0
-1.106000 0.478000 -1.183000 6 0
-1.091000 0.466000 -1.273000 12 0
-0.990000 0.416000 -1.264000 14 0
-0.892000 0.368000 -1.258000 15 0
-1.110000 0.511000 -1.202000 6 0
-1.081000 0.491000 -1.275000 12 0
-0.979000 0.437000 -1.262000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.125000 0.550000 -1.233000 7 0
-1.064000 0.512000 -1.269000 13 0
-0.969000 0.457000 -1.262000 12 0
-0.880000 0.406000 -1.261000 14 0
-1.135000 0.588000 -1.261000 13 0
-1.052000 0.536000 -1.270000 13 0
-0.959000 0.478000 -1.261000 12 0
0.000000 -0.000000 -0.000000 1 0
-1.124000 0.616000 -1.267000 15 0
-1.039000 0.559000 -1.270000 12 0
-0.947000 0.498000 -1.259000 12 0
-0.865000 0.443000 -1.261000 13 0
-1.112000 0.643000 -1.272000 14 0
-1.025000 0.582000 -1.270000 13 0
-0.939000 0.520000 -1.264000 14 0
0.000000 -0.000000 -0.000000 1 0
-1.090000 0.665000 -1.266000 13 0
-1.009000 0.603000 -1.267000 13 0
-0.923000 0.537000 -1.257000 14 0
-0.847000 0.479000 -1.259000 13 0
-1.072000 0.688000 -1.266000 15 0
-0.996000 0.626000 -1.269000 14 0
0.000000 -0.000000 -0.000000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.054000 0.712000 -1.266000 16 0
-0.979000 0.646000 -1.268000 14 0
-0.899000 0.577000 -1.256000 14 0
-0.826000 0.514000 -1.255000 14 0
-1.034000 0.734000 -1.264000 14 0
-0.963000 0.667000 -1.267000 14 0
0.000000 -0.000000 -0.000000 3 0
0.000000 -0.000000 -0.000000 1 0
0.000000 -0.000000 -0.000000 0 192
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 192
-0.962000 0.124000 -0.940000 9 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 128
0.000000 -0.000000 -0.000000 0 0
-0.972000 0.148000 -0.954000 13 0
-0.969000 0.153000 -1.045000 5 0
-0.952000 0.154000 -1.134000 20 0
0.000000 -0.000000 -0.000000 0 0
-0.983000 0.174000 -0.969000 13 0
-0.969000 0.176000 -1.049000 9 0
0.000000 -0.000000 -0.000000 8 0
-0.934000 0.175000 -1.245000 29 0
-0.980000 0.197000 -0.971000 8 0
-0.975000 0.199000 -1.061000 3 0
0.000000 -0.000000 -0.000000 3 0
0.000000 -0.000000 -0.000000 2 0
-0.973000 0.219000 -0.970000 1 0
-0.972000 0.222000 -1.063000 0 0
-0.963000 0.221000 -1.163000 5 0
-0.938000 0.217000 -1.262000 18 0
-0.988000 0.247000 -0.991000 6 0
-0.977000 0.246000 -1.075000 5 0
0.000000 -0.000000 -0.000000 0 0
0.000000 -0.000000 -0.000000 0 0
-1.079000 0.297000 -1.090000 1 0
-1.073000 0.296000 -1.189000 0 0
-1.036000 0.285000 -1.265000 14 0
-0.929000 0.255000 -1.262000 18 0
-1.080000 0.324000 -1.100000 6 0
-1.070000 0.321000 -1.194000 6 0
-1.031000 0.307000 -1.266000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.089000 0.355000 -1.119000 0 0
-1.076000 0.350000 -1.210000 6 0
-1.020000 0.328000 -1.262000 12 0
-0.918000 0.293000 -1.261000 16 0
-1.086000 0.382000 -1.126000 6 0
-1.084000 0.379000 -1.229000 7 0
-1.013000 0.350000 -1.262000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.090000 0.412000 -1.141000 6 0
-1.096000 0.412000 -1.255000 10 0
-1.007000 0.373000 -1.264000 14 0
-0.908000 0.332000 -1.264000 15 0
-1.102000 0.446000 -1.166000 7 0
-1.100000 0.442000 -1.271000 11 0
-0.998000 0.394000 -1.264000 14 0
0.000000 -0.000000 -0.000000 0 0
-1.106000 0.478000 -1.183000 6 0
-1.091000 0.466000 -1.273000 12 0
-0.990000 0.416000 -1.264000 14 0
-0.892000 0.368000 -1.258000 15 0
-1.110000 0.511000 -1.202000 6 0
-1.081000 0.491000 -1.275000 12 0
-0.979000 0.437000 -1.262000 13 0
0.000000 -0.000000 -0.000000 0 0
-1.125000 0.550000 -1.233000 7 0
-1.064000 0.512000 -1.269000 13 0
-0.969000 0.457000 -1.262000 12 0
-0.880000 0.406000 -1.261000 14 0
-1.135000 0.588000 -1.261000 13 0
-1.052000 0.536000 -1.270000 13 0
-0.959000 0.478000 -1.261000 12 0
0.000000 -0.000000 -0.000000 1 0
-1.124000 0.616000 -1.267000 15 0
-1.039000 0.559000 -1.270000 12 0
-0.947000 0.498000 -1.259000 12 0
-0.865000 0.443000 -1.261000 13 0
-1.112000 0.643000 -1.272000 14 0
-1.025000 0.582000 -1.270000 13 0
-0.939000 0.520000 -1.264000 14 0
0.000000 -0.000000 -0.000000 1 0
-1.090000 0.665000 -1.266000 13 0
-1.009000 0.603000 -1.267000 13 0
-0.923000 0.537000 -1.257000 14 0
-0.847000 0.479000 -1.259000 13 0
-1.072000 0.688000 -1.266000 15 0
-0.996000 0.626000 -1.269000 14 0
0.000000 -0.000000 -0.000000 2 0
0.000000 -0.000000 -0.000000 0 0
-1.054000 0.712000 -1.266000 16 0
-0.979000 0.646000 -1.268000 14 0
-0.899000 0.577000 -1.256000 14 0
-0.826000 0.514000 -1.255000 14 0
-1.034000 0.734000 -1.264000 14 0
-0.963000 0.667000 -1.267000 14 0
0.000000 -0.000000 -0.000000 3 0
0.000000 -0.000000 -0.000000 1 0
-1.015000 0.756000 -1.265000 16 0
-0.947000 0.688000 -1.266000 14 0
-0.873000 0.615000 -1.254000 13 0
-0.811000 0.552000 -1.262000 14 0
-0.993000 0.777000 -1.262000 15 0
-0.928000 0.706000 -1.263000 15 0
-0.862000 0.635000 -1.258000 13 0
0.000000 -0.000000 -0.000000 1 0
-0.971000 0.796000 -1.259000 16 0
-0.911000 0.726000 -1.263000 14 0
-0.846000 0.653000 -1.255000 13 0
-0.787000 0.585000 -1.256000 12 0
-0.953000 0.819000 -1.263000 15 0
-0.892000 0.745000 -1.261000 13 0
-0.832000 0.670000 -1.254000 13 0
0.000000 -0.000000 -0.000000 1 0
-0.931000 0.837000 -1.261000 15 0
-0.875000 0.764000 -1.262000 13 0
-0.817000 0.689000 -1.253000 13 0
-0.765000 0.620000 -1.256000 13 0
-0.906000 0.854000 -1.257000 14 0
-0.857000 0.783000 -1.262000 16 0
-0.801000 0.705000 -1.252000 14 0
0.000000 -0.000000 -0.000000 2 0
-0.885000 0.874000 -1.259000 16 0
-0.836000 0.798000 -1.258000 15 0
0.000000 -0.000000 -0.000000 3 0
-0.740000 0.653000 -1.253000 14 0
-0.862000 0.891000 -1.257000 15 0
-0.817000 0.816000 -1.258000 15 0
-0.771000 0.740000 -1.252000 14 0
0.000000 -0.000000 -0.000000 2 0
-0.836000 0.906000 -1.253000 14 0
-0.798000 0.834000 -1.259000 15 0
0.000000 -0.000000 -0.000000 3 0
-0.715000 0.686000 -1.253000 15 0
-0.814000 0.922000 -1.253000 18 0
-0.776000 0.848000 -1.254000 16 0
-0.741000 0.775000 -1.254000 17 0
0.000000 -0.000000 -0.000000 2 0
-0.790000 0.939000 -1.254000 16 0
-0.755000 0.862000 -1.252000 19 0
0.000000 -0.000000 -0.000000 4 0
-0.688000 0.718000 -1.250000 16 0
-0.765000 0.953000 -1.252000 19 0
-0.737000 0.881000 -1.256000 21 0
-0.705000 0.805000 -1.250000 17 0
0.000000 -0.000000 -0.000000 2 0
-0.742000 0.968000 -1.252000 20 0
-0.713000 0.892000 -1.250000 19 0
0.000000 -0.000000 -0.000000 4 0
-0.659000 0.748000 -1.247000 18 0
-0.714000 0.978000 -1.247000 19 0
-0.692000 0.907000 -1.250000 18 0
-0.670000 0.836000 -1.250000 17 0
0.000000 -0.000000 -0.000000 2 0
-0.692000 0.995000 -1.251000 21 0
-0.671000 0.921000 -1.251000 21 0
0.000000 -0.000000 -0.000000 4 0
-0.629000 0.777000 -1.244000 18 0
-0.666000 1.005000 -1.248000 19 0
-0.650000 0.935000 -1.251000 20 0
-0.634000 0.865000 -1.248000 15 0
0.000000 -0.000000 -0.000000 3 0
-0.642000 1.019000 -1.250000 19 0
-0.628000 0.948000 -1.250000 22 0
0.000000 -0.000000 -0.000000 4 0
-0.598000 0.808000 -1.244000 17 0
-0.614000 1.026000 -1.244000 19 0
-0.605000 0.959000 -1.248000 20 0
-0.596000 0.892000 -1.246000 17 0
0.000000 -0.000000 -0.000000 4 0
-0.590000 1.039000 -1.246000 19 0
-0.583000 0.972000 -1.248000 20 0
0.000000 -0.000000 -0.000000 4 0
-0.568000 0.838000 -1.246000 17 0
-0.562000 1.045000 -1.241000 19 0
-0.560000 0.982000 -1.246000 19 0
-0.556000 0.916000 -1.243000 16 0
0.000000 -0.000000 -0.000000 4 0
-0.534000 1.048000 -1.233000 15 0
-0.538000 0.993000 -1.247000 19 0
0.000000 -0.000000 -0.000000 5 0
-0.533000 0.864000 -1.242000 17 0
-0.507000 1.054000 -1.230000 17 0
-0.515000 1.004000 -1.247000 19 0
-0.517000 0.941000 -1.243000 15 0
0.000000 -0.000000 -0.000000 5 0
-0.482000 1.063000 -1.232000 17 0
-0.490000 1.009000 -1.241000 19 0
0.000000 -0.000000 -0.000000 4 0
-0.499000 0.891000 -1.241000 17 0
-0.458000 1.074000 -1.235000 2 0
-0.465000 1.015000 -1.236000 13 0
-0.474000 0.960000 -1.237000 17 0
0.000000 -0.000000 -0.000000 5 0
-1.015000 0.756000 -1.265000 16 0
-0.947000 0.688000 -1.266000 14 0
-0.873000 0.615000 -1.254000 13 0
-0.811000 0.552000 -1.262000 14 0
-0.993000 0.777000 -1.262000 15 0
-0.928000 0.706000 -1.263000 15 0
-0.862000 0.635000 -1.258000 13 0
0.000000 -0.000000 -0.000000 1 0
-0.971000 0.796000 -1.259000 16 0
-0.911000 0.726000 -1.263000 14 0
-0.846000 0.653000 -1.255000 13 0
-0.787000 0.585000 -1.256000 12 0
-0.953000 0.819000 -1.263000 15 0
-0.892000 0.745000 -1.261000 13 0
-0.832000 0.670000 -1.254000 13 0
0.000000 -0.000000 -0.000000 1 0
-0.931000 0.837000 -1.261000 15 0
-0.875000 0.764000 -1.262000 13 0
-0.817000 0.689000 -1.253000 13 0
-0.765000 0.620000 -1.256000 13 0
