# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 -0.012710 -0.001231 -0.010395 0.999995 -0.002620 0.001719 0.000963
2.000000 -0.025453 -0.002540 -0.020739 0.999979 -0.005241 0.003437 0.001925
3.000000 -0.021574 -0.007854 -0.049448 0.999986 -0.003884 0.002391 0.002528
4.000000 -0.015173 -0.017000 -0.100008 0.999997 -0.000086 0.000276 0.002311
5.000000 -0.022038 -0.001350 -0.051669 0.999988 0.002752 0.003982 0.000178
6.000000 -0.034492 0.006934 -0.010031 0.999918 -0.003052 0.011956 -0.003314
7.000000 0.084713 0.161323 0.162739 0.999924 0.011562 0.003213 -0.002840
