# timestamp x y z
0.000000 0.000000 0.000000 0.000000
1.000000 0.078651 -0.126515 -0.122352
2.000000 0.158889 -0.208134 -0.464168
3.000000 0.120089 -0.158948 -0.746939
4.000000 0.095329 -0.096578 -1.017892
5.000000 0.060137 -0.057307 -0.974750
6.000000 0.088193 -0.076734 -1.093179
7.000000 0.104770 -0.110034 -1.286372
8.000000 0.135229 -0.133168 -1.435199
9.000000 0.171970 -0.156008 -1.477056
10.000000 0.173046 -0.126321 -1.367770
11.000000 0.091463 -0.078997 -1.135029
12.000000 0.017922 -0.058105 -0.933034
13.000000 -0.002319 -0.061598 -0.662380
14.000000 -0.027414 -0.131616 -0.405933
15.000000 0.058934 -0.153514 -0.075479
16.000000 0.033572 0.092232 0.180494
17.000000 -0.032240 0.122626 0.135497
18.000000 -0.131888 0.123387 0.074674
19.000000 0.012246 -0.124047 -0.135283
20.000000 0.146743 -0.240393 -0.433364
21.000000 0.103004 -0.116245 -0.173784
22.000000 0.001508 0.041166 0.100982
23.000000 -0.043307 0.074556 0.337075
24.000000 -0.022667 -0.007413 0.609620
25.000000 0.017444 -0.138352 0.877998
26.000000 0.127568 -0.085581 1.078271
27.000000 -0.045740 0.241883 1.255145
