# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 0.060511 -0.083529 -0.093129 0.998688 -0.036163 -0.036245 -0.000436
2.000000 0.087941 -0.181587 -0.591671 0.976588 -0.160079 -0.143582 0.005951
3.000000 -0.079482 -0.156012 -0.781202 0.965083 -0.214415 -0.144079 0.043379
4.000000 -0.130347 -0.016183 -0.035978 0.995005 -0.049231 -0.001716 0.086825
5.000000 -0.019781 0.002874 -0.254121 0.991107 -0.021750 -0.084293 0.100638
6.000000 0.040867 0.023694 -0.278390 0.992995 0.020428 -0.069037 0.093693
7.000000 -0.016167 -0.002802 -0.322363 0.994993 0.002941 -0.033402 0.094154
8.000000 -0.097392 0.010081 -0.141108 0.994885 -0.015451 -0.013444 0.098911
9.000000 -0.047017 -0.026165 0.166588 0.994702 -0.015377 0.026148 0.098227
10.000000 -0.080884 -0.076156 -0.058230 0.988037 -0.048427 0.117752 0.087016
11.000000 -0.139922 -0.073729 -0.342405 0.990546 -0.016972 0.112705 0.076348
12.000000 0.037619 -0.055578 0.161544 0.995987 0.017017 0.024602 0.084352
