# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 -0.250363 -0.206934 -0.239583 0.998895 -0.018447 0.040932 -0.013873
2.000000 -0.637237 -0.499800 -0.410917 0.995090 -0.040087 0.075080 -0.050523
3.000000 -0.723051 -0.649123 -0.361857 0.994767 -0.058185 0.075732 -0.036309
4.000000 -0.310672 -0.314692 -0.216054 0.998983 -0.027634 0.034435 0.009129
5.000000 -0.049111 0.161587 0.128686 0.998386 0.028691 -0.013629 0.047077
6.000000 0.177919 0.310914 0.442765 0.996586 0.065156 -0.048149 0.015881
7.000000 0.149259 0.198363 0.835642 0.998685 0.024866 -0.044385 -0.006359
8.000000 0.103859 0.124634 0.986746 0.997867 0.044311 0.047928 -0.001209
9.000000 0.043123 0.151106 0.982178 0.995707 0.009714 0.091755 0.007379
10.000000 -0.073961 0.103440 0.658736 0.998970 -0.025715 0.033175 0.017265
11.000000 -0.042528 0.034934 0.292045 0.998676 -0.043689 -0.021533 0.016554
12.000000 0.088328 0.143052 0.572620 0.999050 -0.012525 -0.040152 0.011417
13.000000 0.138962 0.209925 1.019533 0.999975 0.006221 0.002294 0.002426
14.000000 0.193433 0.266877 1.342588 0.997620 -0.000183 0.068881 -0.002975
15.000000 0.367872 0.552698 1.472368 0.997189 0.020677 0.060315 0.039363
16.000000 0.280846 0.799132 1.634907 0.989273 0.033226 0.116300 0.081916
17.000000 0.562863 1.375545 1.850757 0.986175 0.060688 0.079526 0.132104
18.000000 0.809903 1.555587 2.288214 0.987548 0.049401 0.006571 0.149217
19.000000 0.984317 1.741389 2.757117 0.983248 0.037830 -0.066421 0.165472
20.000000 0.940607 1.826653 3.366248 0.971594 0.047842 -0.176027 0.150769
21.000000 0.835050 1.657473 2.771851 0.984002 0.060214 -0.089171 0.141998
22.000000 0.773178 1.350612 2.083444 0.988372 0.020686 -0.049216 0.142372
23.000000 0.615310 1.194581 2.130810 0.985461 0.007091 -0.027478 0.167512
