# timestamp x y z qw qx qy qz
0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
1.000000 -0.023854 -0.029640 -0.137539 0.998999 0.037127 0.024856 -0.002346
2.000000 -0.041576 -0.009494 -0.404331 0.997680 0.031618 0.060160 -0.003994
3.000000 -0.697193 -0.647097 -1.213254 0.999354 0.009605 0.024640 -0.024335
4.000000 -1.208276 -1.119084 -1.617180 0.999321 -0.017446 0.020700 -0.024981
5.000000 -1.368702 -1.182576 -0.958129 0.998124 0.044802 0.038824 -0.015293
6.000000 -1.381956 -1.194046 -0.239571 0.997611 0.066671 -0.005863 -0.017140
7.000000 -1.223786 -1.079075 -0.145246 0.996933 0.067865 -0.030149 -0.024696
8.000000 -1.155103 -1.034482 -0.336905 0.995698 0.057684 -0.064631 -0.032863
9.000000 -1.167120 -1.069857 -0.493111 0.998114 0.009613 -0.054326 -0.026927
